id_transaccion,monto,tipo_transaccion,saldo_despues,ubicacion,hora,fraude
1,1875.8278936425756,Retiro,10903.274833980024,Online,21,0
2,4753.817960517531,Depósito,16674.582538255865,Presencial,12,0
3,3661.3097393479684,Retiro,2589.2693057444303,Online,15,0
4,2995.299128564198,Depósito,2682.681017879964,Presencial,12,0
5,784.3131090099704,Depósito,11180.68536953832,Presencial,3,0
6,784.1926290793322,Retiro,18932.93520183158,Online,3,0
7,295.1276427801563,Transferencia,8358.455391578009,Online,10,0
8,4331.549848145802,Depósito,6606.147795068429,Presencial,22,0
9,3007.569483657328,Retiro,12173.117531637929,Presencial,13,0
10,3541.8225260912473,Compra,18615.927150846117,Presencial,2,0
11,107.81954900753323,Retiro,16754.86387360801,Online,18,0
12,4849.699711549161,Compra,19910.123853591074,Presencial,21,0
13,4163.050990798107,Depósito,549.1148057273041,Online,0,0
14,1065.6338578379894,Retiro,2345.8770797839684,Online,4,0
15,913.2157111994676,Retiro,12228.408490995778,Online,16,0
16,921.105526717902,Compra,16429.47114274361,Presencial,0,1
17,1524.690003582891,Retiro,5776.362411904654,Online,18,0
18,2626.158376003028,Retiro,4860.300651880953,Presencial,18,0
19,2162.565368117368,Depósito,15760.818407685898,Online,3,0
20,1459.6895552892195,Retiro,1221.9988916793084,Presencial,18,0
21,3061.205209138285,Transferencia,7450.714686893443,Presencial,5,0
22,701.771833956949,Compra,10165.603529587363,Online,14,0
23,1464.2625194334146,Retiro,11250.938619571436,Presencial,3,0
24,1834.9774072519901,Compra,14599.44162017626,Online,23,0
25,2283.0695711640947,Compra,7161.429896270099,Online,0,0
26,3926.953927158103,Compra,12292.418459024682,Online,23,0
27,1002.3705418810068,Retiro,11748.970913540032,Online,16,0
28,2573.60101987599,Retiro,10997.560403009567,Online,10,0
29,2964.110771465902,Compra,12845.617533530023,Online,16,0
30,237.01981153638863,Transferencia,5263.038504254719,Online,22,0
31,3039.686535247685,Compra,1784.5101963341167,Presencial,0,0
32,856.7679978180212,Transferencia,2473.506273590894,Online,8,0
33,329.9327069614712,Compra,4569.189414812631,Online,13,0
34,4744.6832585803995,Depósito,10053.938916903426,Presencial,14,0
35,4828.332005207424,Compra,16824.8107358658,Presencial,23,0
36,4042.9447538417235,Compra,14055.737507558844,Online,0,0
37,1526.5457770209866,Retiro,15801.908023620737,Online,1,0
38,492.87220946188745,Transferencia,7084.414916129219,Online,17,0
39,3422.7439674282236,Depósito,8152.609458806149,Presencial,17,0
40,2203.5617062293086,Transferencia,7934.2695312131955,Online,5,0
41,614.5809830496702,Depósito,3918.2763696495804,Presencial,19,0
42,2478.4086660057947,Compra,1318.2114970570833,Online,7,0
43,176.7706629705159,Retiro,11859.230247261814,Online,0,0
44,4547.055408383517,Retiro,19785.412000069664,Presencial,14,0
45,1297.6060080920845,Transferencia,3419.9111285102304,Online,9,0
46,3314.29881034814,Retiro,1029.0279159955476,Online,3,0
47,1561.9968250666077,Transferencia,15612.680468296267,Online,9,0
48,2602.739765783165,Transferencia,5126.461533026011,Presencial,10,0
49,2735.817845319682,Depósito,16609.911726523274,Online,4,0
50,928.3480053500076,Transferencia,14108.339673986857,Online,8,0
51,4848.07521568397,Depósito,18918.903387311013,Presencial,4,0
52,3876.7884526887674,Retiro,8237.651991557774,Presencial,10,0
53,4697.797213113125,Transferencia,13273.19980506762,Online,2,0
54,4474.662615386106,Transferencia,9350.610138184087,Online,3,0
55,2991.51039416137,Compra,12648.715076440016,Presencial,9,0
56,4609.761803940469,Transferencia,9047.018229553973,Online,6,0
57,447.0200477493379,Transferencia,3853.781703839089,Online,0,0
58,983.9343977836303,Compra,10207.15857846728,Presencial,5,0
59,230.91030810813763,Compra,10618.825608605102,Online,7,0
60,1630.0250021625054,Retiro,16231.016580377205,Online,16,0
61,1946.4430619989625,Transferencia,14736.862045292266,Presencial,23,0
62,1360.3884137106102,Retiro,13309.453316434738,Online,6,0
63,4144.543858213887,Retiro,2356.4032014961936,Online,0,0
64,1786.9828668344785,Compra,14440.264184207928,Online,8,0
65,1408.267875888467,Depósito,10056.072611454843,Presencial,10,0
66,2715.766935375451,Retiro,17892.58076851257,Online,18,0
67,708.9165037489394,Depósito,18405.4315891978,Presencial,1,0
68,4011.973918866428,Transferencia,1197.6161529755307,Presencial,22,0
69,377.38046518045525,Compra,16430.76705105413,Online,10,0
70,4934.500248319584,Transferencia,850.1780694111453,Presencial,2,0
71,3862.3626226368037,Transferencia,7406.675551330951,Online,16,0
72,997.5848292631912,Compra,10891.769514859474,Online,9,0
73,32.58297503239398,Transferencia,3047.205892679836,Online,2,0
74,4078.229835131897,Compra,14951.644870124628,Presencial,21,1
75,3535.7524325188474,Depósito,266.25861302555757,Online,2,0
76,3646.3908043647316,Transferencia,3455.121063837333,Online,20,0
77,3857.495381696299,Compra,11657.856914084166,Online,6,0
78,374.8530354117814,Retiro,14316.312484542119,Presencial,1,0
79,1795.5363140786417,Transferencia,18341.197743608933,Presencial,0,0
80,583.7659523280229,Depósito,14139.383373499015,Online,6,0
81,4316.201612248589,Compra,13468.407478071833,Online,19,0
82,3118.374143503652,Transferencia,7947.38881237822,Online,10,0
83,1657.8356341389826,Transferencia,125.56006798334813,Online,22,0
84,322.47395967868806,Transferencia,2491.1692488388767,Presencial,5,0
85,1558.3566969697326,Depósito,10737.63544064518,Presencial,22,0
86,1629.2906935236015,Compra,13535.084728303951,Presencial,3,0
87,3649.38286079863,Retiro,8407.220849539604,Presencial,18,0
88,3189.5995694192898,Retiro,14640.512329414965,Presencial,20,0
89,4436.627649168751,Retiro,10485.059677110357,Presencial,18,0
90,2363.713551183937,Compra,1576.106292326813,Presencial,13,0
91,602.373258461817,Retiro,3921.1233942621816,Online,2,0
92,3567.65771217886,Depósito,16815.964642554463,Online,3,0
93,3805.1213178414027,Compra,14525.763657826346,Online,7,0
94,2808.579601859634,Transferencia,17905.76354154865,Online,17,0
95,3855.9810638730323,Depósito,2439.389257506638,Online,3,0
96,2471.5090038401318,Transferencia,19805.428438839972,Online,10,0
97,2616.0504827630602,Retiro,4267.193607603678,Presencial,15,0
98,2140.5673867009555,Depósito,334.419538104176,Online,2,0
99,131.96853808675547,Compra,19948.71648716573,Presencial,6,0
100,543.9176778315557,Depósito,5693.370320357752,Online,1,0
101,161.9887825052376,Transferencia,13393.587104999942,Presencial,0,1
102,3183.8700042625833,Compra,3615.9780521084735,Presencial,0,0
103,1575.2081254762518,Depósito,11646.547790762921,Online,5,0
104,2545.3106023676905,Depósito,18090.29623044573,Online,18,0
105,4538.294537260835,Depósito,6471.605231825928,Online,6,0
106,1250.2146845986304,Depósito,13438.054123282749,Online,23,0
107,2054.8627005629705,Compra,3839.2814170884885,Online,4,0
108,3778.9779370225283,Transferencia,12533.428434502632,Presencial,20,0
109,1147.8468366306543,Depósito,6795.362001168452,Online,17,0
110,389.514649594821,Compra,4303.044345900238,Presencial,23,0
111,1452.3085073042712,Transferencia,6332.322809002339,Presencial,12,0
112,810.3003298337521,Depósito,3658.937263305207,Presencial,0,1
113,4648.839773451153,Transferencia,18048.13054597387,Online,9,0
114,4041.5612959242626,Transferencia,8004.019037710864,Online,8,0
115,3168.8517637695654,Compra,4981.05816898991,Online,16,0
116,4357.94564798765,Transferencia,9023.316036217064,Online,0,0
117,4019.3420241110766,Compra,6478.669719449262,Online,0,0
118,936.9174441357491,Depósito,14913.943150885187,Online,6,0
119,4463.332197457439,Transferencia,19427.276246521338,Presencial,3,0
120,2699.0144983686755,Transferencia,8816.869768283172,Online,22,0
121,4038.1635750444925,Retiro,17234.564659447584,Presencial,20,0
122,4480.976043117848,Depósito,11360.675163836428,Presencial,11,0
123,1593.4273574844601,Depósito,3228.9897353752463,Online,15,0
124,554.7093630157455,Retiro,13843.392567418698,Online,13,0
125,1143.5361368969986,Retiro,10317.346492803821,Online,22,0
126,2138.4034041881505,Compra,13047.069812716858,Online,9,0
127,4090.983755782853,Compra,17804.779510176133,Online,13,0
128,4304.349263365435,Transferencia,8864.647956055316,Online,6,0
129,39.72589200329757,Transferencia,18033.434702025377,Presencial,3,0
130,2556.1827763749407,Transferencia,15038.313384204932,Presencial,1,0
131,2089.967960728151,Transferencia,9823.238024971897,Presencial,23,0
132,1114.4285133012977,Compra,12104.120499593477,Presencial,17,0
133,603.7275098317456,Depósito,6579.064537128328,Presencial,15,0
134,1691.3877811611217,Transferencia,19673.586264801605,Presencial,8,0
135,4714.833971043033,Depósito,13380.28814470288,Online,4,0
136,1619.3986454436724,Transferencia,972.5523646829349,Online,8,0
137,2596.3591556081137,Retiro,6599.775924385374,Online,7,0
138,3516.5796996814133,Transferencia,12503.957231805243,Presencial,23,0
139,1821.3298638845733,Transferencia,1221.0322282048721,Presencial,19,0
140,4859.051503191198,Transferencia,575.295407250941,Presencial,15,0
141,4812.424238235845,Compra,9055.482366603272,Online,19,1
142,1262.652567647694,Retiro,6720.534575884133,Online,17,0
143,2488.756286932465,Transferencia,8822.142299860001,Online,3,0
144,1507.8871575347644,Transferencia,5327.5968666121025,Presencial,15,0
145,1427.7782694154507,Depósito,3377.88316416532,Presencial,3,0
146,189.2503020358913,Retiro,13813.95280390872,Presencial,5,0
147,3049.773848229585,Transferencia,10339.96521372923,Online,2,0
148,2515.881721028163,Depósito,4083.0688038624,Presencial,17,0
149,262.1363624936968,Depósito,6459.829582573966,Online,14,0
150,1396.8390888618742,Compra,11876.977362500185,Online,7,0
151,4541.788100403435,Depósito,1537.3640306223092,Online,17,0
152,1201.6116438815272,Transferencia,3034.314884396973,Online,23,0
153,728.7498860956593,Compra,1557.5875217370633,Online,22,0
154,2449.8165375864273,Compra,16265.114921010965,Online,2,0
155,4928.32401828245,Transferencia,15072.943740918985,Online,5,0
156,1214.0660811999446,Retiro,15090.927344397216,Presencial,21,0
157,3362.3170592923634,Depósito,14354.874335172959,Online,20,0
158,3809.2899785669442,Compra,13420.769931030398,Presencial,23,0
159,1191.9995322420364,Retiro,9592.139116025683,Online,14,0
160,3642.4406613162387,Transferencia,12881.335453791587,Online,11,0
161,1842.0767479326698,Depósito,863.3949402806956,Online,4,0
162,3163.3676238149296,Depósito,12467.142010870013,Presencial,6,0
163,3169.480905250669,Compra,15579.766340183856,Online,21,0
164,2681.1945469534185,Depósito,10057.131371649364,Online,14,0
165,455.9974014217695,Depósito,7214.515235702015,Presencial,6,0
166,4177.335965468244,Depósito,5620.792022539485,Presencial,12,0
167,1607.2964245338205,Depósito,12891.760798225441,Presencial,2,0
168,936.6599594472718,Transferencia,13886.743852735184,Presencial,22,0
169,208.67183206604577,Retiro,17432.2552372646,Online,12,0
170,2956.510251225268,Transferencia,6912.448240973716,Online,2,0
171,3389.4339874022007,Transferencia,15418.468916973152,Presencial,1,0
172,87.85620549464147,Compra,11270.980901367824,Online,22,0
173,2562.9048262049087,Depósito,17668.446164493773,Presencial,3,0
174,1136.3463971137,Transferencia,10603.460955082854,Presencial,16,0
175,3227.638088095202,Depósito,10400.833585119548,Presencial,5,0
176,875.9603128799323,Transferencia,11599.753920674091,Online,10,0
177,3456.2340018218174,Transferencia,15011.375567334444,Presencial,5,0
178,1936.7430547711845,Compra,19297.34052868637,Online,21,0
179,4683.966293739989,Retiro,1563.9107488937366,Online,1,0
180,691.9171160092363,Retiro,1163.3485875812414,Online,16,1
181,1708.6264234960413,Transferencia,18757.251714406037,Presencial,2,0
182,571.8002385967424,Compra,10644.524947812302,Online,11,0
183,4623.844623301421,Depósito,12336.569989882028,Presencial,13,0
184,4387.310070138,Depósito,9700.229671735104,Online,1,0
185,1293.4184304372022,Transferencia,1963.7833068887423,Online,21,0
186,3301.6203099407244,Retiro,15384.978630531465,Online,21,0
187,4087.0248900050733,Compra,14969.77043726288,Presencial,4,0
188,2778.228053939314,Retiro,6302.896097706958,Presencial,9,0
189,2650.6046388882523,Depósito,6194.160980045168,Presencial,9,0
190,1213.0521930477562,Retiro,16773.04348001982,Presencial,20,0
191,470.0483251904666,Depósito,1539.9094290523997,Online,8,0
192,4486.592710976867,Compra,17633.99245229566,Online,20,0
193,4502.588195530836,Compra,5207.567628928697,Presencial,12,0
194,3167.3417790799735,Transferencia,11900.39648033433,Presencial,9,0
195,1698.4538062882598,Transferencia,18726.284162135376,Presencial,5,1
196,1749.301825190241,Retiro,13594.637780579264,Presencial,10,0
197,3631.148615956846,Compra,8347.153268094027,Online,3,0
198,4486.065748463123,Compra,13821.730757217761,Presencial,13,0
199,4435.996689204261,Transferencia,6945.194762695766,Presencial,16,0
200,3900.478351558831,Depósito,5617.442485348804,Online,19,0
201,3211.9480725406675,Retiro,19933.997230900128,Presencial,1,0
202,425.2791251502689,Retiro,15040.725600477776,Online,9,0
203,812.3354269025958,Transferencia,12929.927549898171,Presencial,2,0
204,4493.278171692761,Compra,7170.263900064444,Online,6,0
205,3034.113152999652,Transferencia,1078.3005001854583,Presencial,6,0
